claim_id,dataset_id,seed,fold,train_rows,test_rows,baseline_rmse,candidate_rmse,primary_delta,baseline_mae,candidate_mae
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260824,1,1279,320,0.6317942361658417,0.6102266843809577,0.02156755178488401,0.4880500526473492,0.45245116319523226
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260824,2,1279,320,0.6343134286059858,0.5877970591666468,0.04651636943933901,0.4960007895561798,0.44107162801065425
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260824,3,1279,320,0.6424113361684818,0.6074187524112247,0.03499258375725711,0.502092417767797,0.4620353921788434
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260824,4,1279,320,0.6446988715961438,0.6110468133409104,0.03365205825523343,0.47923184370754585,0.4427452522147434
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260824,5,1280,319,0.7054168463193448,0.64594768896643,0.0594691573529148,0.5568824909038934,0.4837165736678376
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260825,1,1279,320,0.6253685580934013,0.6079550832122389,0.017413474881162405,0.47999618788729254,0.4411196261195496
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260825,2,1279,320,0.5942117260289059,0.5303535145335861,0.06385821149531978,0.4724565649601208,0.41195270028337855
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260825,3,1279,320,0.6579531252615008,0.6197186451574491,0.03823448010405173,0.5096267120535263,0.47320863784289535
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260825,4,1279,320,0.7024203336020715,0.6454768455417768,0.0569434880602947,0.5398829275819319,0.47802229383466976
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260825,5,1280,319,0.673124749935682,0.6138108384982534,0.0593139114374287,0.5232019199481176,0.45725987274882973
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260826,1,1279,320,0.618564063897043,0.5780700080654076,0.040494055831635345,0.4827040196080775,0.43602028986121083
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260826,2,1279,320,0.6915870825135634,0.6314800940261437,0.06010698848741969,0.5364404794032707,0.46921652410547915
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260826,3,1279,320,0.6723146918262083,0.6116892892268476,0.06062540259936067,0.5118030687837531,0.456595815758379
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260826,4,1279,320,0.6874276050549283,0.6541109278964508,0.033316677158477526,0.5331588208292748,0.4879215101630508
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260826,5,1280,319,0.5862093740373884,0.5777355033731809,0.008473870664207461,0.464045945733635,0.4361761551126776
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260827,1,1279,320,0.6527950363806411,0.5646156494387251,0.08817938694191596,0.5107468605986518,0.4375421222347666
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260827,2,1279,320,0.6318594507555964,0.6055036641869881,0.026355786568608264,0.5047042445184032,0.4542763117751248
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260827,3,1279,320,0.6660844545162758,0.6349167220936831,0.031167732422592742,0.5079145901864243,0.4568311067749697
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260827,4,1279,320,0.6301331750514974,0.5663846202858259,0.06374855476567143,0.4745654692037508,0.42331539357284936
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260827,5,1280,319,0.6826707797128752,0.6311229436130914,0.05154783609978375,0.5285598500086158,0.472036885573206
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260828,1,1279,320,0.6512626196428264,0.5919878948394891,0.059274724803337286,0.5049419366997074,0.44975620014242007
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260828,2,1279,320,0.6447989215283279,0.591816532419086,0.0529823891092418,0.4951313394510647,0.4347743038043596
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260828,3,1279,320,0.6599373624686476,0.5904524229951101,0.06948493947353751,0.5151973888387108,0.4426343191657985
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260828,4,1279,320,0.6584183677410669,0.6237089465764969,0.03470942116456999,0.5102075014866371,0.4701880785046125
uci_wine_quality_red_hgbr_vs_ridge_rmse_v01,UCI_Wine_Quality_red_v01,20260828,5,1280,319,0.644110293742345,0.6132854654118067,0.030824828330538234,0.49764531365256215,0.4545253588934934
