stress_test_id,claim_id,run_group,protocol_variant_id,summary_scope,outer_random_state,candidate_id,comparison_role,candidate_model_id,comparison_model_id,metric_name,metric_direction,n_blocks,advantage_mean,advantage_std_population,advantage_min,advantage_max,candidate_positive_blocks,candidate_negative_blocks,candidate_zero_blocks,row_status,interpretation_allowed_ru
ST05_03a_split_protocol_10x1,miniboone_hgb_vs_logreg_average_precision_v01,nested_split_sensitivity_v01,nested_10x1_seed_grid_v01,all_outer_random_states,all,openml_miniboone_41150,lower_bound_model,hist_gradient_boosting,dummy_prior,f1,higher_is_better,30,0.9021504264332639,0.003298425932191132,0.8952095808383234,0.9090909090909091,30,0,0,stage05_split_protocol_sensitivity_summary,Сводка по всем зафиксированным зернам случайности протокола 10x1; не объединять с 5x2 без отдельного evidence record.
ST05_03a_split_protocol_10x1,miniboone_hgb_vs_logreg_average_precision_v01,nested_split_sensitivity_v01,nested_10x1_seed_grid_v01,single_outer_random_state,20260507,openml_miniboone_41150,lower_bound_model,hist_gradient_boosting,dummy_prior,f1,higher_is_better,10,0.9025874558328046,0.003400991675145251,0.8952095808383234,0.9090909090909091,10,0,0,stage05_split_protocol_sensitivity_summary,Сводка по одному зерну случайности внешнего разбиения 10x1; используется только внутри ST05_03a.
ST05_03a_split_protocol_10x1,miniboone_hgb_vs_logreg_average_precision_v01,nested_split_sensitivity_v01,nested_10x1_seed_grid_v01,single_outer_random_state,20260517,openml_miniboone_41150,lower_bound_model,hist_gradient_boosting,dummy_prior,f1,higher_is_better,10,0.9021255297971245,0.0031481490478726024,0.8967383949113548,0.906318082788671,10,0,0,stage05_split_protocol_sensitivity_summary,Сводка по одному зерну случайности внешнего разбиения 10x1; используется только внутри ST05_03a.
ST05_03a_split_protocol_10x1,miniboone_hgb_vs_logreg_average_precision_v01,nested_split_sensitivity_v01,nested_10x1_seed_grid_v01,single_outer_random_state,20260527,openml_miniboone_41150,lower_bound_model,hist_gradient_boosting,dummy_prior,f1,higher_is_better,10,0.9017382936698626,0.0032863028063770086,0.8962212486308871,0.9077360791220702,10,0,0,stage05_split_protocol_sensitivity_summary,Сводка по одному зерну случайности внешнего разбиения 10x1; используется только внутри ST05_03a.
ST05_03a_split_protocol_10x1,miniboone_hgb_vs_logreg_average_precision_v01,nested_split_sensitivity_v01,nested_10x1_seed_grid_v01,all_outer_random_states,all,openml_miniboone_41150,lower_bound_model,hist_gradient_boosting,dummy_prior,log_loss,lower_is_better,30,0.4547407736541037,0.003846969738936657,0.44499354321295287,0.46349754191408093,30,0,0,stage05_split_protocol_sensitivity_summary,Сводка по всем зафиксированным зернам случайности протокола 10x1; не объединять с 5x2 без отдельного evidence record.
ST05_03a_split_protocol_10x1,miniboone_hgb_vs_logreg_average_precision_v01,nested_split_sensitivity_v01,nested_10x1_seed_grid_v01,single_outer_random_state,20260507,openml_miniboone_41150,lower_bound_model,hist_gradient_boosting,dummy_prior,log_loss,lower_is_better,10,0.45511195507505847,0.0046768939316847846,0.44499354321295287,0.46349754191408093,10,0,0,stage05_split_protocol_sensitivity_summary,Сводка по одному зерну случайности внешнего разбиения 10x1; используется только внутри ST05_03a.
ST05_03a_split_protocol_10x1,miniboone_hgb_vs_logreg_average_precision_v01,nested_split_sensitivity_v01,nested_10x1_seed_grid_v01,single_outer_random_state,20260517,openml_miniboone_41150,lower_bound_model,hist_gradient_boosting,dummy_prior,log_loss,lower_is_better,10,0.4545895993766765,0.003438106450545321,0.44895763887932516,0.4595836400847829,10,0,0,stage05_split_protocol_sensitivity_summary,Сводка по одному зерну случайности внешнего разбиения 10x1; используется только внутри ST05_03a.
ST05_03a_split_protocol_10x1,miniboone_hgb_vs_logreg_average_precision_v01,nested_split_sensitivity_v01,nested_10x1_seed_grid_v01,single_outer_random_state,20260527,openml_miniboone_41150,lower_bound_model,hist_gradient_boosting,dummy_prior,log_loss,lower_is_better,10,0.45452076651057594,0.0032395344188248455,0.44998659506258964,0.4605152106454774,10,0,0,stage05_split_protocol_sensitivity_summary,Сводка по одному зерну случайности внешнего разбиения 10x1; используется только внутри ST05_03a.
ST05_03a_split_protocol_10x1,miniboone_hgb_vs_logreg_average_precision_v01,nested_split_sensitivity_v01,nested_10x1_seed_grid_v01,all_outer_random_states,all,openml_miniboone_41150,lower_bound_model,hist_gradient_boosting,dummy_prior,roc_auc,higher_is_better,30,0.4851920836606089,0.0008462385376574441,0.48302795797154274,0.4870297574774374,30,0,0,stage05_split_protocol_sensitivity_summary,Сводка по всем зафиксированным зернам случайности протокола 10x1; не объединять с 5x2 без отдельного evidence record.
ST05_03a_split_protocol_10x1,miniboone_hgb_vs_logreg_average_precision_v01,nested_split_sensitivity_v01,nested_10x1_seed_grid_v01,single_outer_random_state,20260507,openml_miniboone_41150,lower_bound_model,hist_gradient_boosting,dummy_prior,roc_auc,higher_is_better,10,0.4852351475670472,0.0010250532318884585,0.48302795797154274,0.4870297574774374,10,0,0,stage05_split_protocol_sensitivity_summary,Сводка по одному зерну случайности внешнего разбиения 10x1; используется только внутри ST05_03a.
