candidate_id,openml_dataset_id,dataset_name,target_name,target_class_0,target_class_1,positive_class_assumption,feature_count,feature_names,split_protocol_id,random_seed,test_size,n_train,n_test,model_id,fit_seconds,score_seconds,row_status,interpretation_allowed,roc_auc,pr_auc,f1,balanced_accuracy,log_loss,brier_score
openml_electricity_151,151,electricity,class,DOWN,UP,UP,5,nswprice; nswdemand; vicprice; vicdemand; transfer,stratified_random,20260507,0.2,36249,9063,dummy_prior,0.001495,0.022945,diagnostic_draft,no,0.5,0.42458347125675827,0.0,0.5,0.6817283496907843,0.24431234946017388
openml_electricity_151,151,electricity,class,DOWN,UP,UP,5,nswprice; nswdemand; vicprice; vicdemand; transfer,stratified_random,20260507,0.2,36249,9063,logistic_regression,0.0508,0.0261,diagnostic_draft,no,0.8108491567384185,0.7891108211551721,0.6823256488328259,0.739012658391853,0.5102766766537042,0.16914654020362493
openml_electricity_151,151,electricity,class,DOWN,UP,UP,5,nswprice; nswdemand; vicprice; vicdemand; transfer,stratified_random,20260507,0.2,36249,9063,hist_gradient_boosting,3.126866,0.126004,diagnostic_draft,no,0.8691869915863204,0.8427859204235983,0.7313348416289592,0.77484900823827,0.4407092927570204,0.14431205767862934
openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,50,ParticleID_0; ParticleID_1; ParticleID_2; ParticleID_3; ParticleID_4; ParticleID_5; ParticleID_6; ParticleID_7; ParticleID_8; ParticleID_9; ParticleID_10; ParticleID_11; ParticleID_12; ParticleID_13; ParticleID_14; ParticleID_15; ParticleID_16; ParticleID_17; ParticleID_18; ParticleID_19; ParticleID_20; ParticleID_21; ParticleID_22; ParticleID_23; ParticleID_24; ParticleID_25; ParticleID_26; ParticleID_27; ParticleID_28; ParticleID_29; ParticleID_30; ParticleID_31; ParticleID_32; ParticleID_33; ParticleID_34; ParticleID_35; ParticleID_36; ParticleID_37; ParticleID_38; ParticleID_39; ParticleID_40; ParticleID_41; ParticleID_42; ParticleID_43; ParticleID_44; ParticleID_45; ParticleID_46; ParticleID_47; ParticleID_48; ParticleID_49,stratified_random,20260507,0.2,104051,26013,dummy_prior,0.005551,0.028307,diagnostic_draft,no,0.5,0.2806289163110752,0.0,0.5,0.5935463243336802,0.20187632768894523
openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,50,ParticleID_0; ParticleID_1; ParticleID_2; ParticleID_3; ParticleID_4; ParticleID_5; ParticleID_6; ParticleID_7; ParticleID_8; ParticleID_9; ParticleID_10; ParticleID_11; ParticleID_12; ParticleID_13; ParticleID_14; ParticleID_15; ParticleID_16; ParticleID_17; ParticleID_18; ParticleID_19; ParticleID_20; ParticleID_21; ParticleID_22; ParticleID_23; ParticleID_24; ParticleID_25; ParticleID_26; ParticleID_27; ParticleID_28; ParticleID_29; ParticleID_30; ParticleID_31; ParticleID_32; ParticleID_33; ParticleID_34; ParticleID_35; ParticleID_36; ParticleID_37; ParticleID_38; ParticleID_39; ParticleID_40; ParticleID_41; ParticleID_42; ParticleID_43; ParticleID_44; ParticleID_45; ParticleID_46; ParticleID_47; ParticleID_48; ParticleID_49,stratified_random,20260507,0.2,104051,26013,logistic_regression,3.160381,0.074018,diagnostic_draft,no,0.9372040900436222,0.8632407656553854,0.7778594531020289,0.83533051523042,0.2889466340707137,0.08623769756698357
openml_miniboone_41150,41150,MiniBooNE,signal,False,True,True,50,ParticleID_0; ParticleID_1; ParticleID_2; ParticleID_3; ParticleID_4; ParticleID_5; ParticleID_6; ParticleID_7; ParticleID_8; ParticleID_9; ParticleID_10; ParticleID_11; ParticleID_12; ParticleID_13; ParticleID_14; ParticleID_15; ParticleID_16; ParticleID_17; ParticleID_18; ParticleID_19; ParticleID_20; ParticleID_21; ParticleID_22; ParticleID_23; ParticleID_24; ParticleID_25; ParticleID_26; ParticleID_27; ParticleID_28; ParticleID_29; ParticleID_30; ParticleID_31; ParticleID_32; ParticleID_33; ParticleID_34; ParticleID_35; ParticleID_36; ParticleID_37; ParticleID_38; ParticleID_39; ParticleID_40; ParticleID_41; ParticleID_42; ParticleID_43; ParticleID_44; ParticleID_45; ParticleID_46; ParticleID_47; ParticleID_48; ParticleID_49,stratified_random,20260507,0.2,104051,26013,hist_gradient_boosting,6.503891,0.752374,diagnostic_draft,no,0.9827815400472458,0.9528206727406211,0.8931708313474501,0.9271229179919608,0.1507343048875173,0.04440421624705425
openml_click_prediction_small_41434,41434,Click_prediction_small,click,0,1,1,3,impression; depth; position,stratified_random,20260507,0.2,31958,7990,dummy_prior,0.002711,0.017144,diagnostic_draft,no,0.5,0.16846057571964956,0.0,0.5,0.45343685164627506,0.14008161285596502
openml_click_prediction_small_41434,41434,Click_prediction_small,click,0,1,1,3,impression; depth; position,stratified_random,20260507,0.2,31958,7990,logistic_regression,0.042569,0.0212,diagnostic_draft,no,0.6095111566547657,0.22714207288072724,0.011764705882352941,0.5025202329823331,0.44315606790176154,0.13685201822629092
openml_click_prediction_small_41434,41434,Click_prediction_small,click,0,1,1,3,impression; depth; position,stratified_random,20260507,0.2,31958,7990,hist_gradient_boosting,0.351577,0.055322,diagnostic_draft,no,0.6268390164001887,0.2458008538144907,0.03316510454217736,0.5071892279217393,0.43717349754212015,0.1354193988550544
